| Communications | Cote d'Ivoire |
| --- | --- |
| Telephones - main lines in use: | 268,200 (2011) |
| Telephones - mobile cellular: | 17.344 million (2011) |
| Telephone system: | general assessment: well developed by African standards; telecommunications sector privatized in late 1990s and operational fixed-lines have increased since that time with two fixed-line providers operating over open-wire lines, microwave radio relay, and fiber-optics; 90% digitalized |
| Telephone system: | domestic: with multiple mobile-cellular service providers competing in the market, usage has increased sharply to roughly 80 per 100 persons |
| Telephone system: | international: country code - 225; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2011) |
| Broadcast media: | 2 state-owned TV stations; no private terrestrial TV stations, but satellite TV subscription service is available; 2 state-owned radio stations; some private radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .ci |
| Internet hosts: | 9,115 (2012) |
| Internet users: | 967,300 (2009) |
